reviewerId,reviewerName
"A3FG9URDVQOPPI","elizabeth savage"
"A2HH19CTU47T8M","x man"
"ANGZC8G8G2FMR","Boo-Boo"
"A32A32N2ORD2JN","c.warren"
"A5I80A5I2ZH5Y","Bryce Knier"
"ATVL15TMS8NM","VVM"
"A20G2VM22QGXBI","ravin"
"A268S85U2AAYRX","ALingenfelter"
"A3A2SI507F5BS4","PikaStar"
"A15N8VF81XQHQJ","WingedDeath"
"A38Z6J0VGZ1WOY","unknown"
"AXBIRYEV2YWNZ","carolynmay"
"A1I9E1UN60IVFR","Salina Kyle"
"A21JSG14FV6JJP","F. Artknocker"
"A16YS6MD4FHA58","Shirley"
"AWPNELUOGBH56","bettyA1987"
"A3UYTCMMJ53BBB","Mindy"
"A2NOREL1VVU8PZ","di"
"A1LHJ32NVLJ5QS","jodystaf"
"A1TUZIKP64DUQB","Jean DeSio"
"A200A2HUWS3O1Q","Beta"
"A2A6VAJP4PZQ2I","K.Kowalski"
"AAMEYCBKGKX4U","unknown"
"A2FLOT86BV5FRW","suck's"
"A1C9LTMGL1FPNN","Alex Barillas"
"A2U4CJIEO2CKXM","unknown"
"A35VLI8R9NGF4G","unknown"
"A3BBASLQUAO4HA","Cathleen"
"A14SFS7VIRP9FA","LaVerne Brown"
"AJIFN3Y4CO2B2","sol-bookie"
"A1D78O6Z24O7A3","Krista15"
"A15VRKWL5BR6QQ","Amazon Customer"
"A1A2P5E3BV46ZX","Amanda and Mark"
"A3BKEZ129G9JE9","unknown"
"A2YA2K48RV3P0P","Alyssa"
"AAEUTLDMSPEXC","cindy salerno"
"ALR66CL5AF4WR","unknown"
"A2SF92P07RG9HM","unknown"
"A3F5QBDKO95EMM","Kelso"
"A3SLSGNMZ5DP7I","ruthann richter"
"A3DC37HJTAEYMM","Paul C."
"A16XB2EODKDVUB","m&amp;ms"
"A3OBBDF07J2JEO","F. Cantrelle"
"A34F24D3J3HQIU","Janet Glotfelty book lover"
"A1H2ZU6FONK8ZQ","B. Archibald"
"A2NRO2EYYE60UI","Michael E. Fair II"
"AUB40EXPJ4JUA","Sunny"
"A32RF721Y0XJCV","Julie"
"A1901PZJROKZP","dbernier51"
"A3RFTC9ZP208QA","Nephritina S. Frierson"
"A1H7YKON09I4ML","James Sr."
"A126HF0DS9C2XF","Angelten"
"A1WX7SWTTONSJJ","Pattie D"
"AFXS4FE69LTGU","GabbyLovesGames"
"ANIX6MNB2JBXE","Jennifer Pagel"
"A3EHV2VXGV40D2","unknown"
"A2J9VAOEDLR8H2","unknown"
"AE1OI066SN3D4","Daniel B. Dreelin"
"A50ZDFVJ8UA9R","Justin Lee Carawan"
"A10IFNRF7HTR2W","unknown"
"A340ATSMHH8RTK","Karen Boys"
"A1YW0QVQJOT4LL","the boss"
"A1MIK594R5AWPX","Jo Schutte"
"A2DLGDVQE81NE9","unknown"
"A1MLAMZJ7SW2KP","Betty Freeman"
"A2BTZPCLLKF4SQ","angelwings"
"ASLFCBLS2UBI9","Ghada"
"A3E2RG431R5S97","Santino S"
"A2DGNHK1VXJYDN","Doc"
"A3B4Z3G3N0GSQB","TLC TLC"
"AKJYD6PEHLOMB","B"
"A2VU17GLQHM74B","Dan Healy"
"A27VDDPG36FJBL","annie"
"A303CO5FKDVYX1","Kelsy Hill"
"A1W8QTSVD9H1VF","meanies be nice"
"A2NWJ2Q9LJJ8S9","J. Genoveva"
"A2NUQSB42RKBFA","Downeaster"
"A2HS3GDAKPPUG5","jewel of the sea"
"A3R12AH8AO4MWF","Sherlene  Philp"
"A370LEGDL7SL3N","MommaJ"
"A0220159ZRNBTRKLG08H","DavidA"
"A2OOL4LLPZYYB4","Marilyn A Norton"
"A21FYUYD4JT6JE","wrrrrtgtygfredvhtffcc"
"A121Y8KJARDYCH","laura laube"
"A25QLUK8YJSLL","love justice563"
"AVEJNN6TKMDRR","old hen"
"A3JVYVYA54LYVE","Bricks Angel"
"A3CUA62DNSW6JP","bp 658"
"A3NWDVRYFBV72W","Scottypiper Scottypiper"
"A1WSLZ5WNUYYQE","jrebel"
"A2T4J5D69W1F3V","Kesta"
"AR9XZ9ONO72WH","Antoinette"
"A2XJ14OANDU6PJ","AnhTB"
"A14N6QKQ1QV9KY","My Otterbox"
"ADWXFRZ43AIZJ","waz up"
"A18YW67OETUT1U","Alice Fay mmd"
"A1YN4H06XO7Z80","Dolores Marie Carpenter"
"A22SIG5P0VYUNP","Cindy Neuhold"
"A1MOUPX5VKI64C","robkolk"
"AFWGE1VO9PP9R","N. Tuttle"
"ARTTTRO6YFNCW","Joshua Lavallee"
"A2UL4FLOOMIJGZ","rtlacey"
"A1PASDYRI74HHQ","not that good"
"A284R5250KQBWN","Jessica"
"AO5HSP32HTKE9","h8ata38"
"A2BROTK9G3B8HW","e. courbette"
"A2IH7KZ8RU4ALM","m.arnold"
"A2MS7RWN32A5A8","JORGE DAVID OROZCO"
"A21NLMS6SCBG9V","Armando"
"A1Y84YHLLK7KFF","fun game"
"A1GOCJ13OXYPX7","Judy L. Cox Judi / Madaise"
"A2XG28SHB0A0TK","Laila"
"A2JRQGDBJEUCUF","Dji"
"A255MIUG8DD1E8","s"
"A1XLPTM9KKRGJA","adrienne"
"A2RFA8AR895WNV","Drifter"
"A2MDCYX07CZNMC","ElCeeS"
"ARR8CKF8YH6KE","Sally W"
"A25ULZPD5G86CH","lala"
"A3C6LF9W67Z3U1","Dee Bingham"
"A1ZQY11HE053YO","Barbara Prince Electronics Pro"
"A2IWAH7AQW0AZH","Ekshaffer"
"ARMVTHF0FAFOU","Amazon Customer Cait"
"AVRRYW7M1VP63","unknown"
"A25672IW5PDR6I","Criania"
"A28APYC2WXFWM6","Debbie W."
"A3N7G5CTAMHJC","luvsmack"
"A2M687NQA8VC2T","cushman"
"A1QG7C3I2Y4S2Y","JRBLS66 Joel"
"A24B4B1QAWCP1E","gghvvv"
"A23YCIA5COAFLU","Brenda in Georgia"
"A2TGC4FD13NXDS","Mary Callaghan"
"A2FKC3UMN4VSOC","Allison Leigh"
"A204OX7GF9BQZC","Amazon Customer"
"A287EA9GGXV5G1","Carol"
"A3LM3M4CX4RBZD","Michelle Waldroupe"
"A33AYQUFREWKJO","Sarah V."
"A146UUXYZCYYFH","Penny"
"AH6PZ1V9UWUJA","Willow Greentree"
"A3A0UEII33Y4SN","Mary Conklin"
"A3KSL8PHTRR0QC","Terri Dronen"
"A31UJ731BPTDEU","gavalos"
"A3LMQTD3XZJ8KG","Carol G"
"A1H0Q8PJ0NGQ2A","unknown"
"AEMR2YSA2FA6W","unknown"
"A35D452UPESD7P","D. L. Pass"
"A32IDYXYXSZGYK","L. Wischmeyer RunLolaRun"
"A163J5TEJBO43B","Tammy"
"A137W48G9MB9CV","Dawn Marie Dawnie"
"A16V2LK4S7V8H0","Sarah Brouillette"
"AMWXNII6VYJC8","unknown"
"A1UC4AG1A0UY2","unknown"
"A1LKDFHUT1OGFS","AudioPhile"
"A20DBTTNNR1UHV","coolio"
"A2SUH4K6VNEAYV","unknown"
"A31V1X6A1W4T70","rizalie abadia"
"A1DBT7FL3RBGL3","Miracle"
"A3TZKW0WICCFK0","s.main"
"A22S9JW4YAPEAP","Catarina73"
"A6XGOOAIAX4BM","unknown"
"A23FSXEND7OI6I","Chris"
"A1EHLK7C9EMUD3","JCEL Joe"
"A2OT6PQ54LGWNQ","C.Campbell"
"A3340Q0OXONEQN","AssasinOfAwsome"
"AB2LSG0ZL5MCM","Jason W. Reeves"
"A124CQZRMNS896","Keith"
"A5SICA8R9FRKH","unknown"
"A12SBZKTU8QW7K","Kirsten"
"A373FVQLQKG5BK","laura"
"A345095Z6SDQR2","Ben Evenhuis"
"A3JZ30DASIJCUN","mom of 2"
"A16LLU560XSMZR","Todd H."
"A1GXYGLHM8GUSJ","Jenn"
"A23VJU8E4L6N0B","unknown"
"ANC32PLTPI3Q0","William Joseph Kilroy"
"A14BIC3WHDKNZB","grammagj"
"ARHMXKNAD8TNZ","unknown"
"AZJ4S0ZTM9GJG","judy johnson"
"A25S2XT0PWWJ47","William P Slabaugh Jr"
"A2GCV4UH7GMKQJ","cat"
"A906WCA2KSNYB","1Dlover!!!!"
"AVPJD3RM13HAM","R. Duchatellier r. l. d."
"A1UVO9HDM57HIX","unknown"
"A30LGM76699CNF","Kat"
"A1F09YANK17U59","GriefsTrueLove"
"A2GO7BM7C1GUA4","chunky monkey"
"A2E2U6DSZD69J6","Retgma"
"A2H2IV91AS25ZE","Jeremy Dvorak"
"A2EH4FL1O5I49Q","many people are looking for a horror game get..."
"A15BOUP7T0ME0Q","unknown"
"A28B1XRBE1HA27","AndyBlair"
"A326VY362DATKO","Amazon Customer"
"A2QJTNJX26QXVA","jbazan"
"A1RZPJX476QN6I","farmars"
"AOTNEGJUBRZNF","Buckley"
"A25K1WA35X6BLI","LadyFunknstein"
"AQ6T0LEGD338E","Linda Pepcorn"
"AWZFGU33ONZ74","William Allison"
"A1MQ51XM69WTRB","bravegirl24"
"A330T5LPFP6BLX","lavylou"
"A2PKQM0MRY1R2Q","myny"
"A2X906VTRFFENY","kirey span"
"A3384G6IW1OMU1","Mel M."
"ATLWBI0EE8LTX","Cassandra Amador"
"A3N8VGRLY6V436","poontang4444"
"A29409ZLFH0EJB","S. Whitesel Back of the Shop . us"
"AKXP73EY4QDLW","Kindle Customer"
"A2HZQS44GAI24E","Lori"
"A28IW2QB0AT08R","Bluemax Dennis"
"A1YKWVB04TPDL5","unknown"
"A1BCEY75HEEJQP","stevey"
"A3VRII9LLD8IRZ","Char"
"A30PA9SJV4J0T4","Jlhudson"
"A243A6DRT0ESYH","unknown"
"A1KPBPKRM0DWDG","Quite pleased"
"A1OT2X0UN8733I","Quintao"
"AU9P4VSXHENE2","Nicholas Whipps"
"AUXL5LNAYDQU7","qey hdaf"
"A2LQJYGBKR81PM","Bob12string"
"A24E4V49499CMI","Nottellingyoumynamefool"
"AQYHALX8M4WT6","Muffins"
"A2V1B86M45FK6S","mary"
"A32R5K97FJEDKY","R. V. Byrd Bob"
"A2QG6JZ0HXTPOB","ksue27"
"A2HNGXKZ51MUT1","N. Boggs thepoetess"
"AHH5Z7CQBP9AT","TheReviewManiac101"
"AZRTCDO8S6V4U","Amazon Customer"
"A272G597EXHZVD","kayakgrrl"
"A1J4UO8X5AURVW","Monya"
"A3LQXQ25FTW6ZR","Ladybug Lyn"
"AM1TGBVF1ODRI","Jeremy Whitehead"
"A3KKUQDNEU89LC","m.carney"
"A8VQC76IAFK6X","Michael Morris"
"A1LKT37RE8GQ9H","the little asian"
"AZ0JQ0DXO676","Manlyman2000"
"A2UXX6J049CBNK","Angela K. Emziah"
"A3EE0DQ00DSYH1","SammySam"
"A2UJTFSLF0TAJ0","WallyBinBaz"
"A88GVUDG8S89V","unknown"
"AJ7A9GHS2Y3AX","K.aud"
